street_marker,RequestTime,aim_marker
454,72,10454
455,73,10455
456,73,10456
457,73,10457
458,73,10458
459,73,10459
460,73,10460
461,73,10461
462,74,10462
463,74,10463
464,74,10464
465,74,10465
466,74,10466
467,74,10467
468,75,10468
469,75,10469
470,75,10470
471,75,10471
472,75,10472
473,75,10473
474,75,10474
475,75,10475
476,75,10476
477,76,10477
478,76,10478
479,76,10479
480,76,10480
481,76,10481
482,76,10482
483,77,10483
484,77,10484
485,77,10485
486,77,10486
487,78,10487
488,78,10488
489,78,10489
490,78,10490
491,78,10491
492,78,10492
493,78,10493
494,78,10494
495,79,10495
496,79,10496
497,79,10497
498,80,10498
499,80,10499
500,80,10500
501,81,10501
502,81,10502
503,81,10503
504,81,10504
505,81,10505
506,81,10506
507,81,10507
508,81,10508
509,82,10509
510,82,10510
511,82,10511
512,82,10512
513,82,10513
514,82,10514
515,82,10515
516,83,10516
517,83,10517
518,83,10518
519,83,10519
520,84,10520
521,84,10521
522,84,10522
523,84,10523
524,84,10524
525,84,10525
526,84,10526
527,84,10527
528,85,10528
529,85,10529
530,85,10530
531,85,10531
532,85,10532
533,85,10533
534,85,10534
535,85,10535
536,85,10536
537,85,10537
538,86,10538
539,86,10539
540,86,10540
541,86,10541
542,86,10542
543,86,10543
544,86,10544
545,86,10545
546,87,10546
547,87,10547
548,87,10548
549,87,10549
550,87,10550
551,87,10551
552,87,10552
553,88,10553
554,88,10554
555,88,10555
556,88,10556
557,88,10557
558,89,10558
559,89,10559
560,89,10560
561,89,10561
562,89,10562
563,89,10563
564,89,10564
565,89,10565
566,89,10566
567,89,10567
568,89,10568
569,90,10569
570,90,10570
571,90,10571
572,90,10572
573,90,10573
574,90,10574
575,90,10575
576,90,10576
577,90,10577
578,90,10578
579,90,10579
580,90,10580
581,90,10581
582,91,10582
583,91,10583
584,91,10584
585,91,10585
586,91,10586
587,91,10587
588,91,10588
589,91,10589
590,92,10590
591,92,10591
592,92,10592
593,92,10593
594,93,10594
595,93,10595
596,93,10596
597,94,10597
598,94,10598
599,94,10599
600,94,10600
601,94,10601
602,95,10602
603,95,10603
604,95,10604
605,95,10605
606,95,10606
607,95,10607
608,95,10608
609,95,10609
610,95,10610
611,95,10611
612,95,10612
613,95,10613
614,95,10614
615,96,10615
616,96,10616
617,96,10617
618,96,10618
619,96,10619
