street_marker,RequestTime,tripDistance,aim_marker,lon,lat
A75,14.0,1110.0,A10075,-73.97908020019531,40.75779342651367
A76,14.0,1280.0,A10076,-73.98990631103516,40.73371505737305
A77,14.0,2100.0,A10077,-74.00397491455078,40.747512817382805
A78,14.0,4400.0,A10078,-73.8639373779297,40.76983642578125
A79,14.0,2700.0,A10079,-73.99551391601561,40.72489547729492
A80,14.0,2280.0,A10080,-73.97857666015625,40.757286071777344
A81,14.0,4500.0,A10081,-73.97486114501953,40.72951889038086
A82,14.0,1540.0,A10082,-73.98152923583984,40.74974060058594
A83,15.000000000000002,7560.0,A10083,-73.94721984863281,40.78033828735352
A84,15.000000000000002,2000.0,A10084,-73.95807647705078,40.779006958007805
A85,15.000000000000002,1200.0,A10085,-73.99070739746092,40.75541305541992
A86,15.000000000000002,5000.0,A10086,-73.99395751953125,40.746368408203125
A87,15.000000000000002,1200.0,A10087,-73.952392578125,40.783573150634766
A88,15.000000000000002,900.0,A10088,-73.96755981445312,40.76290512084961
A89,15.000000000000002,1900.0,A10089,-73.99085998535155,40.76047897338867
A90,15.000000000000002,5900.0,A10090,-73.95355224609375,40.77534866333008
A91,15.000000000000002,1100.0,A10091,-73.98564147949219,40.72730255126953
A92,16.0,15500.0,A10092,-73.97721099853516,40.751747131347656
A93,16.0,4010.0,A10093,-73.98828887939453,40.74956512451172
A94,16.0,400.0,A10094,-73.96002960205078,40.770503997802734
A95,16.0,5100.0,A10095,-73.95057678222656,40.786651611328125
A96,16.0,4900.0,A10096,-73.91028594970702,40.75275039672852
A97,16.0,7500.0,A10097,-74.01216125488281,40.70749282836913
A98,17.0,1900.0,A10098,-73.9720001220703,40.76207733154297
A99,17.0,2630.0,A10099,-73.99115753173827,40.7496337890625
A100,17.0,1500.0,A10100,-73.97593688964845,40.7763786315918
A101,17.0,1920.0,A10101,-73.98053741455078,40.727027893066406
A102,17.0,2400.0,A10102,-74.00801849365233,40.74861526489258
A103,17.0,1350.0,A10103,-73.96582794189453,40.754261016845696
A104,17.0,1600.0,A10104,-73.96994018554686,40.75963973999024
A105,17.0,710.0,A10105,-73.99229431152342,40.6840705871582
A106,18.0,500.0,A10106,-74.00052642822266,40.72740173339844
A107,18.0,1100.0,A10107,-73.982177734375,40.76704788208008
A108,18.0,600.0,A10108,-73.95169830322266,40.76947021484375
A109,18.0,1250.0,A10109,-73.97937774658203,40.7519989013672
A110,18.0,1300.0,A10110,-73.98690795898438,40.73333740234375
A111,19.0,4700.0,A10111,-73.95753479003906,40.7617645263672
A112,19.0,5190.0,A10112,-73.98545837402342,40.75730895996094
A113,19.0,1460.0,A10113,-73.95569610595702,40.779399871826165
A114,19.0,1000.0,A10114,-74.00148773193358,40.75661087036133
A115,19.0,1500.0,A10115,-73.99227142333984,40.75373840332031
A116,19.0,750.0,A10116,-73.97882843017578,40.74134826660156
A117,19.0,5400.0,A10117,-73.99612426757811,40.72522735595703
A118,20.0,2190.0,A10118,-73.98492431640625,40.72800064086913
A119,20.0,1620.0,A10119,-73.97422790527344,40.76219940185546
A120,20.0,960.0,A10120,-73.97576141357422,40.75975799560546
A121,20.0,3200.0,A10121,-74.00421142578125,40.72091674804688
A122,21.0,1440.0,A10122,-73.95157623291014,40.769981384277344
A123,21.0,720.0,A10123,-73.99434661865233,40.717063903808594
A124,21.0,6030.0,A10124,-73.99179840087889,40.72727966308594
A125,21.0,2200.0,A10125,-73.9715805053711,40.763145446777344
A126,21.0,600.0,A10126,-73.98780822753906,40.74567413330078
A127,22.0,1360.0,A10127,-74.00496673583984,40.723011016845696
A128,22.0,500.0,A10128,-73.97328186035155,40.76093673706056
A129,22.0,1580.0,A10129,-73.99657440185547,40.73728561401367
A130,22.0,2760.0,A10130,-74.00483703613281,40.72349548339844
A131,22.0,880.0,A10131,-74.00852966308595,40.71628189086913
A132,23.0,600.0,A10132,-73.96112060546875,40.760704040527344
